,Integration Type,Language,Sentiment,Categories,Text,pred
101,tripadvisor,eng,1,experience;service;food,Amazing service with Evie and staff !!! The food was beyond expectations and the staff was so accustomimg,1
102,tripadvisor,eng,1,experience;food;service,"Great service from Kelly and AMAZING fillet steak, the best I’ve ever had. Cooked to perfection, thank you Chloe",1
103,tripadvisor,eng,1,experience;service;food,"Been here a few times with family and the food is always great and very prompt service by all staff but Summer was very efficient and always popping over to see if everything was ok, would definatly recommend to friends and family and we are back there again in April for a birthday meal!",1
106,tripadvisor,eng,1,food,"It is difficult to be disappointed by a simple coffee, but it is worth saying it when it is good ! Capuccino and Macchiato are good there !",1
107,tripadvisor,eng,1,experience;reputation;food;service,Excellent food. Great burgers & grills. Juicy steaks. All served buy Jess who did a fantastic job of looking after us all. Thoroughly recommend this place & will definitely be back. ,1
108,tripadvisor,eng,1,experience;service;food,"Had a party of 10 table booked, our waitress Jess was very patient and understanding when people arrived late for our table booking, she was very polite and supplied us with everything thing we needed , all round good service. Food was very good , all brought out at the same time and presented well. Would recommend this to anyone!",1
111,tripadvisor,eng,1,experience;value;food,"We visited today after a gin making class round the corner. Beautiful setting, and good choice of food. Two of us opted for the set menu and it was well worth the money. The others chose from the main menu and were not disappointed. Will definitely be returning.",1
112,tripadvisor,eng,1,experience;service;environment,"Visited today and thoroughly enjoyed our visit. All of the staff were extremely friendly and the service was extra fast. Food was delicious, I had the £9.95 3 course set menu and I couldn’t fault it. In a great location and the restaurant itself is gorgeous. Deffo recommend",1
113,tripadvisor,eng,1,service;food;reputation,"We dined here for lunch and were not disappointed. Service was slow, the servers seemed in no rush to do anything - although not unpleasant I would note! Food wise, we ordered the potato dips to share as a starter - highly recommended!! They were like a chip and a roast potato got triple cooked and had a baby together, covered in cheese and peppers, and served with delicious dips. Burger wise, I had a Bacon Eli (think that was the name) and my boyfriend had a Cheesy Nelson. Both were outstanding, really high quality burgers - not greasy or McDonald’s like at all. We shared a sideOf chips also (good portion siZe to share if you had a big starter also and aren’t starving). The beer recommendations with every burger are a nice touch. My boyfriend went with the recommended choice for his and loved it. Definitely worth a visit when in the area - just maybe not if you are in a rush.",1
117,tripadvisor,eng,1,experience;food;service,"Great experience: good quality meat, well cooked, great sides, good and reasonably priced wine list, discrete service - would highly recommend.",1
118,tripadvisor,eng,1,experience;service;food;environment,"Great menu. Attentive staff. Food was prompt, well presented and extremely tasty. Our group of 4 all had different meals and we were all impressed with our choices. Good atmosphere.",1
119,tripadvisor,eng,1,experience;food;service;value,Been to Middleton steakhouse few times always good meal staff very friendly and helpful lunch time set menus good value,1
120,tripadvisor,eng,1,experience;service;food,Visited Saturday evening for a birthday meal. Enjoyed the steak and the staff were very attentive. Two veggies in our party were adequately catered for and the evening was good value for money. Would certainly visit again on a future trip to Leicester,1
122,tripadvisor,eng,1,experience;food;environment;service,"I live in Middleton and visit middletons regularly. I always go with high expectations and am let down by the steak being over cooked and poor service. I know that recently they have been working hard to improve both- and my god has it worked. The past few months it has got better and better, and it was perfect on my last visit. Service was fast and friendly, a really nice atmosphere and a very good selection of food. If you like your steak, the quality of the meat is absolutely exceptional- best I’ve ever eaten. Seasoned perfectly and you can taste the quality of the meat. All the steaks we ordered were cooked to perfection, and the sides and sauces were brilliant too. I recommend the ribs or haddock Goujons to start, and a prime grill or an 8oz fillet for main. Also probably best to book in advance. It’s a must if you like your steak, grills or fish. 10/10",1
124,tripadvisor,eng,1,experience;value;food;service,"My first time here and it won't be my last. A huge menu and more than just steaks available. The food was superb and every member of staff knew their job and enhanced my enjoyment of the evening. Kimberley, well done. Decent drinks options too and although prices could be considered at the 'dear' end the food was so good it was worth it",1
126,tripadvisor,eng,1,experience;food;service;environment,"We received a warm friendly welcome on arrival and were seated straight away in the basement, where the music set a nice relaxed mood. The menu choice is huge, separated, for example, into: Steaks, Grills, Vege, Seafood, Burgers, etc. Almost everything we ordered was excellent, with only one minor issue with a particular dish which was resolved in an extremely polite, friendly and prefessional manner by our lovely hostess, Kayleigh - thank you kindly.",1
130,tripadvisor,eng,1,food,"A year after our first visit, we returned to Ellis as heavy duty shopping had left us feeling in need of a proper lunch. We left it late, so were offered a seat in the rear terrace, which was FAB - properly heated and very comfy. Service was swift and efficient as before, the waiter switching to English at our glazed response to Flemish. Tried their new ""meatlover"" burger. WOW. Properly cooked, nice and juicy, just a little pink in the middle. The salmon burger was also declared excellent. A surprise hit was the homemade strawberry lemonade - with real bits of strawberry in it. And of course the best fries in the universe. Not just for carnivores though - they do a good range of veggie and even vegan burgers. And other stuff - but I stopped looking after I spotted the Meat Lover.",1
131,tripadvisor,eng,1,experience;food;service,We were given a very warm welcome on arrival shown to our table asked if we needed drinks menus already at place settings given plenty of time to order Katie interduced  herself a very helpful young lady orders taken all came out together we had brought a bday cake which the staff kepted in the kitchen  5 had steak 1sea bass it was great food as usual when it was time Katie lit the candles and brought the cake for my granddaughter a great time had by all,1
135,tripadvisor,eng,1,experience;food;service,"We decided to try Sunday Lunch and we were not disapointed the meat was cooked just right and there was enough to satisfy. the service was excellent, not too fussy. I have eaten here before and enjoyed it but this is the first time for sunday lunch, it will not be the last.",-1
137,tripadvisor,eng,1,experience;food;service;environment,Nice new restaurant in Chelmsford.Shared the Middleton Board for starter between 3 of us and was plenty. Followed by an amazing burger. Wasn't going to have dessert but after the standard of food we all couldn't resist and had a great cheesecake to finish too. Very friendly staff and a nice atmosphere.Will be coming back.,1
138,tripadvisor,eng,1,experience;food;service,The food here is always delicious with good waiting time and polite staff. We got served by Kayleigh who was great and had some banter with us whilst showing us to our table. I always look forward to eating here as a treat!,1
139,tripadvisor,eng,1,experience;service;food,"I ate here tonight with my brother and mum. The food was good, it’s a steakhouse and they have got it right, all the meat was cooked well. My brother particularly enjoyed his 32oz porterhouse. A solid four stars.However Kayleigh who served us easily pushed this up to five stars. Excellent service.",1
140,tripadvisor,eng,1,service;value,"Took a chance on an ad hoc visit . Took a while to be seated and drinks arrived after the starters. However staff were friendly , food was tasty and cheap as we took advantage of the early bird 3 courses for £10 . Happy to recommend",1
142,tripadvisor,eng,1,experience;environment;food;service;value,"The idea is really original for me. Big tables, only meatballs for eat, but with some variations. They change the filling and you can choose salad or mashed potatoes. Staff was very attentive explaining how it works. You have water and apples for free in the tables. Price, you may think a bit high for a meatball, but dish is more than enough for dinner",1
143,tripadvisor,eng,1,experience;service;food,"Having heard mixed reviews I decided to try it for myself. I was so surprised! Emile served us and his attention to customer service was exceptional. He recommended wine and it was one of the best I have tasted. He also helped us choose our meals. Try it for your self, we were not disappointed.",1
144,tripadvisor,eng,1,food;experience;service;environment,"Good atmosphere, great service ( thanks to Summer) and excellent food. Meals substantial and steak cooked as ordered. Excellent fries. Will return next time in MK.",1
145,tripadvisor,eng,1,reputation;food;service,Found this place using the Happy Cow app and was not disappointed! They had the beyond burger and vegan cheese and it was delicious! The staff were lovely and friendly and prices were reasonable. Fast service and would definitely return if in brussels again. ,1
146,tripadvisor,eng,1,experience;food;service;environment,"We went there for Dinner on a Saturday night. Luckily we booked a table because it was very busy (how it should be). We didn't have a start and went all in for the main course. Steak of course. I had a wonderful Fillet Steak. Taste wise fantastic. Seasoning on the outside great. The inside I would have wished a bit more rare but it was Ok. As a side I chose Coleslaw. I know it sounds awkward but that was probably the best Coleslaw I have ever had. It was almost the star of the show. Loved it. They have a good wine selection. We went for red wine Pinot Noir. Perfect with the steak. Staff was very attentive and friendly. It is indeed a great Steakhouse. Fantastic atmosphere, nice people, good food and drinks. Well done. Price wise, living in London, it is more than Ok ;-)",1
149,tripadvisor,eng,1,experience;food;service;value,"We visited with friends, good service, food is very good quality, quite expensive in our opinion though, service was good, we would visit again on one of there special offer deals as we do not feel its good value ",1
150,tripadvisor,eng,1,experience;food;service;environment;consistency,"Just had a delicious lunch here. Great service by Marta, lots of choice on the menu and lovely surroundings! This is the third time we've been and the service and food have been brilliant on all three occasions!",1
152,tripadvisor,eng,1,experience;food;service,"Place was very busy but we still had a great meal, steak cooked to perfection and the service was fantastic (many thanks Lisa). Staff were very attentive and couldn't do enough for you.  Would highly recommend. ",1
153,tripadvisor,eng,1,food;environment,"A small selection of gourmet burgers including a selection of vegetarian burgers. Nice open setting with some outside seating available. Tried the blue cheese burger, nice but the cheese overpowered the taste of the meat, my wife tried the Ellis Classic 2.0 which was more of a traditional burger.",1
154,tripadvisor,eng,1,experience;reputation;food;service;value;environment,"I went for a meal with my 82yr old mum & my sister to celebrate my graduation.Nice atmosphere - right levels of music & buzz to keep it lively but we didn't struggle to hear conversation. Ate from the set menu which was fantastic value for money & really tasty. Substituted our dessert for a cocktail 😍 Marta looked after us, making sure all was well (& my mother wanted to arrange a night out in Glasgow with her!)Recommended x",1
156,tripadvisor,eng,1,experience;food;service,"Firstly I would like to thank Lisa, for looking after us. Made me feel very special when she bought my desert out with a candle.Food was gorgeous, staff were amazing.Thank you so much for a fantastic eveningAnd I can't thank you Lisa enoughHaving a bad time at the moment and our friends came together to get us out of the house.",1
158,tripadvisor,eng,1,experience;food;service,"We were served by a brilliant lady called Summer! The food selection is great and we were very happy with our choice. As a vegetarian, I was more than happy with the variety.",1
159,tripadvisor,eng,1,experience;food;service,Thank you Middletons for yet again a Lovely lunch with my Mother. Summer was really polite and the service was great. ,1
160,tripadvisor,eng,1,experience;food;service,"A surprise visit to Middletons for an early Mother’s Day treat from my daughters today brings this review! A nice welcoming atmosphere greeted us, the service was friendly, swift and efficient by Chris, our waiter, and the food was very enjoyable and tasty. Well done Middletons, our family will definitely return again. Thank you !",1
161,tripadvisor,eng,1,experience;service;value,Excellent value set lunch menu. Special mention of the polite and efficient young staff on a very busy Saturday.,1
162,tripadvisor,eng,1,experience;food;service,"Lovely anniversary meal with my husband tonight. Steaks cooked perfectly and Lisa our waitress was such a breath of fresh air. So friendly, nothing was too much trouble. Thank you all!",1
164,tripadvisor,eng,1,food;experience;family_friendly,"I would definitely recommend Sunday roast! Very tasty, well cooked meal! Friendly and attentive staff.  Our little girl loved kids meal especially brownie with ice cream! We plan to visit again soon.   Thank you ",1
165,tripadvisor,eng,1,experience;food;service,"Excellent meal, steaks delicious. restaurant was busy, service by Marta was very good. Will definitely return.",1
166,tripadvisor,eng,1,experience;food;environment,"Middleton’s is improving all the time, I love it. The wine is very good value, steaks are great, atmosphere very nice and welcoming! Our servers were Kimberly and Sinnitta  and both were very good. We’ll be back! ",1
167,tripadvisor,eng,1,experience;food;service;reputation,This was my first visit to this restaurant and I enjoyed my 3 course meal. Food was delicious. The main took a while to come out however as we were talking it didn’t seem to bother us greatly. The decor inside is lovely. Would definitely recommend and come back.,1
168,tripadvisor,eng,1,environment;food,"i go there frequently, ingredients are excellent, service is friendly, the place is very nice and there is also seats outside, on the jourdan place. ",1
169,tripadvisor,eng,1,experience;food;service;environment;reputation,"We walked in on a busy Saturday evening the day before Mother’s Day without a reservation and the manager Michael did a great job sorting out a table for the three of us. Lisa was our waitress and she was lovely; friendly, knowledgeable, efficient and simply great customer service. The steak was cooked to perfection, carved at the table and the sweet potatoe crisps one of the best I’ve had. Great atmosphere and decor. Highly recommend this restaurant when in MK.",1
170,tripadvisor,eng,1,experience;food;environment;service;value,This is the first time we have used Middleton’s steak and Grill.  We went with friends who live close to Chelmsford it was a very nice atmosphere food was excellent  and very reasonably priced  staff were very friendly practically our waiter Kim  highly recommended,1
172,tripadvisor,eng,1,experience;food;service;environment,"On recommendations from several friends we went to Middleton's in Milton Keynes.  The whole experience was so good. The food was amazing and the staff were friendly and professional. Special praise for our waitress, Summer, who worked so hard and was always smiling.",1
174,tripadvisor,eng,1,experience;food;service,"Lovely as always - service was great, food was delicious. We had a mixture of Sunday roasts and steak meals - all were so good. Cannot fault Middletons. Desserts are good too if you have room.",1
176,tripadvisor,eng,1,experience;food;service;environment,"We thoroughly enjoyed our Mother's Day lunch at Middletons, with many laughs with the fantastic staff.  Marta was amazing and made us laugh so much - could not have been more helpful.  The food was lovely, and the atmosphere great.  Will definitely return.",1
177,tripadvisor,eng,1,experience;service;food;value,"Visited last night as part of my sisters hen party. Booking was seamless, pre ordered our food, so very little waiting. We provided decorations which they were happy to assist with prior to our arrival. Our server mollie was lovely, nothing too much to ask for! Food was delicious and reasonably priced. Thankyou for a lovely evening!",1
178,tripadvisor,eng,1,experience;food;service;value,Superb value one two or three course lunch! Great selection to suit all tastes. Been twice and enjoyed both times.very friendly staff. Best to book but large restaurant with many tables,1
179,tripadvisor,eng,1,experience;food;service,"Great food, excellent service! I took my mum out in mother’s day, despite the busy restaurant Summer looked after us and always had a cute smile on her face. Really appreciate her making my mums evening even better. :)",1
180,tripadvisor,eng,1,food;service,"Had a lovely late lunch, with friendly staff. Great fire pit upstairs to keep you warm from the cold.  Burgers were great and were not rushed.",1
181,tripadvisor,eng,1,experience;food;service;environment,"Came out for a meal with family for my birthday, everything thing was spot on, good food, good atmosphere and looked after well by the staff. Will return again",1
183,tripadvisor,eng,1,experience;food,"I visted here in mid-March as a large group with work.  Due to the large sizing we were sat in a quieter area downstairs which was a good choice!The menu was a simple Italian one withe some general options too.The group had a mixed order, some with starters and the staff were knowledgable about the food and wine.The presentation of the food was ok, but this was reflected in the price.All the meals were well received and tasty and the value was certainly good.A good place to have a cheap, smile meal which tastes good.",1
184,tripadvisor,eng,1,experience;service;food;reputation,I visited on Mother’s Day with my family there was 6 of us and I couldn’t have chosen a better place. The staff was friends and accommodating while the food was amazing. Tasted so fresh none of us could have faulted it. The restaurant was very busy as we expected it to be but you wouldn’t have noticed from the speed of the food and service. Amazing I would highly recommend.,1
185,tripadvisor,eng,1,food,"We came to Greenway after a weekend partying at Rampage and needed some good food inside us! They didn’t disappoint, the Mexican smoked jalapeño burger was delicious and super filling. I had the gluten free option bun, which was great! As a side we had the sweet potato wedges, unfortunately they didn’t have the parsnips but this was still yummy :) Also, the fresh juice (carrot, apples, lemon and ginger) was much needed after two hectic days of raving! Will definitely visit again and highly recommend. ",1
186,tripadvisor,eng,1,experience;food;service,Had a lovely meal at Middleton's great service quick and efficient. Food was great both had a steak cooked to perfection! Cocktails are also amazing i believe these were made my Jade! ,1
187,tripadvisor,eng,1,experience;food;service;reputation,We have just had a wonderful meal and could not recommend here enough. Richard gave us superb service and could not have been more attentive. A great place to celebrate tonight 😊,1
190,tripadvisor,eng,1,experience;reputation;service,On arrival we were greeted with a smile and seated in a booth by Vicky the manager who served us throughout our meal. We had a 3 course lunch from the set menu which was very nice. Very customer friendly. Highly recommended.,1
192,tripadvisor,eng,1,food,I walked in about 7:30 in evening.  I was seated and glanced over the menu.  I chose their standard burger.  There were lots of combinations one could ask for in a burger.  I chose a nice be abbey beer to accompany the burger.  I was satisfied with the meal.,1
193,tripadvisor,eng,1,experience;service,"Another good experience with Middletons - Consuelo was friendly and made Simon chuckle, he said he will be back again and thoroughly enjoyed the English banter. He said next time he's in England he will pop in for a bite -",1
195,tripadvisor,eng,1,experience;food;service,"Beef Wellington and Fillet Steaks were very good.  Excellent service from Lisa, very friendly, efficient and helpful, definitely coming again, many thanks.",1
196,tripadvisor,eng,1,convenience;value;food;service;experience,The spaghetti house seemed like a nice spot for lunch during a shopping trip. It was a nice spot with a large menu and reasonable prices. The food was good with large portions. The staff weren't very attentive. It was a good option when we didn't fancy junk food.,1
198,tripadvisor,eng,1,experience;food;service,We just had a wonderful meal for a work incentive and could not recommend here enough. Excellent service from Agnieszka (Aga) and the food was excellent as always. Will definitely be returning.,1
199,tripadvisor,eng,1,experience;service;food,"Had a lovely meal last night, the staff couldn’t be more attentive and welcoming. Starters of mussels and garlic mushrooms were to die for, absolutely delicious, followed by mixed grills - both the meat one and the fish one - the meat was incredible, beautifully seasoned, tasty and tender, and although we enjoyed the fish one aswell, the salmon and sea bass were a little over cooked and dry, we would definitely go back and try it again thoughAll washed down with a couple of bottles of wine and finished off with a gorgeous ‘birthday’ black forest gateaux, al in all was a lovely meal and a lovely evening",1
200,tripadvisor,eng,1,experience;service;food,"This was a friendly and welcoming restaurant. The food was delicious, my steak was so fantastic and fresh, we were served by a lovely waitress Vicky. We will come back for sure! Thank you",1
201,tripadvisor,eng,1,experience;food;value;service,"Had a great time ,lovely restaurant ,food was cooked and presented beautiful ,great value for money and excellent welcome by waitress Martha was very attentive and polite. Will definitely be going again.",1
202,tripadvisor,eng,1,food,We were based in Bruges for 6 nights and came here on the first & last nights of our holiday. It was quiet late on a Monday night (as you'd expect) and busier of course on a Saturday night. We both enjoyed our dinner very much both times...I had a delicious veggie burger & there was plenty of choice to satisfy my carnivore boyfriend. Delicious fries and coleslaw too in more than adequate portions...I couldn't finish all of my fries. Service was quick and staff really friendly.,1
203,tripadvisor,eng,1,environment;convenience;food,"Good atmosphere, good place to work and meet, excellent location close to main roads, good bitterballs. ",1
207,tripadvisor,eng,1,experience;reputation;food;service,"Came to Middletons for the fixed price lunch after having a delicious dinner (great food and service) and the Peterborough Middletons. Again the food was delicious, service was polite, friendly and speedy, and the restaurant is a very pleasant place to be. The fixed menu is incredible value for money at 3 courses for £10, even though the starters and desserts are slightly smaller than if you ordered off the main menu. Our waitress, Summer, couldn’t have been friendlier and have some good recommendations from the menu.Would highly recommend for any occasion.",1
208,tripadvisor,eng,1,experience;food;service;value,"Food was brilliant, atmosphere is great, price is very good and service was excellent, thanks Summer",1
209,tripadvisor,eng,1,experience;service;food,"Balls & Glory was one of the places that impressed us the most during our trip to Brussels. Home to the most varied meatballs we've ever tasted, this place was our favorite with its unconventional, fast service and friendly staff.",1
210,tripadvisor,eng,1,experience;reputation;food;service,23 of us went to Middletons for my partners 30th birthday and it was absolutely brilliant! None of us could fault the food or drink and the service was great! A special thanks to Ivan the waiter who really looked after us all. We will be returning and recommending you to family and friends. Daniella,1
212,tripadvisor,eng,1,experience;service,Arrived on semi busy Friday night. Shown to our table promptly. My wife had a nice view but I was just staring at a bleak entrance way. Pot luck I guess Pre meal drinks and food order was quick and efficient My spicy chicken wings were nice but not spicy in my book Mains arrived and before I had even tried a piece of steak I was asked twice how my meal was . Wish they had asked a few mins later as we realised we had been given each other’s by mistake. However the steak ( ribeye and sirloin) were delicious and my wife was impressed with the little side salad . The pepper sauce in my opinion was too bland and gloopy to do the steak justice Ordered a cheese board ( nice selection ) between us to finish the lovely bottle of red we  ordered . When it came to the clearance of the plates we were asked about our meal by our main waitress Summer who has been great all night. We have the above honest feedback which she thanked us for We said we would still come back as overall we had a wonderful night . Bill came and our dessert cost was taken off as a gesture of good will which I thought was I nice and unexpected touch . Will return .,-1
214,tripadvisor,eng,1,food,"Visited this place twice in two days. Good service, provides fresh nice meals. I enjoyed their fries a lot. Today I came for seconds 😁. I would really recommend this place for a nice light meal and beverages (hot or cold ). Is just a pity , they offer their hot beverages only in small cups , don’t do big cups.",1
215,tripadvisor,eng,1,experience;environment;food,"So glad we decided to stop here for dinner. The two ladies who served us were amazing. Efficient and polite without being clinical. The food was great and the venue itself is amazing! If we are ever back in town, we will be back!",1
216,tripadvisor,eng,1,experience;food;value;service,We noticed the Lunch Set Menu board outside the restaurant and decided to give it a go. Such a great choice of starters mains and desserts and for 3 courses £9.95! The food was excellent as was the service and well worth the price. Would definitely visit again if we were in Multon Keynes.,1
219,tripadvisor,eng,1,experience;food,First time here. Are daughter booked this restaurant.Me being a very fussy steak eater was not sure.But I need mot have worried.I had the 12oz rib eye and it was cooked to perfection as I oreded. And the taste was amazing. Full of flavour  and juice.My wife had the sirloin which again was beautiful cooked and full of flavour...All in yes well served well presented. And yes I would come againPriceing perfect for the quality of steaks you are getting.Well done...,1
220,tripadvisor,eng,1,experience;reputation;food;service,"My partner and I had a fantastic meal at Middletons the other night, our food was delicious and the service was great. Our server Summer was so helpful and welcoming. Overall a brilliant evening and I’d recommend it to anyone!",1
224,tripadvisor,eng,1,experience;service;food,Excellent food and Excellent service.  Martin was great. Very friendly and remembered exactly who had ordered what when bringing food/ drinks to the table,1
225,tripadvisor,eng,1,experience;environment;food;service,Visited Middletons on Saturday 6th April for a birthday meal. The restaurant was busy with a good atmosphere. We were seated quickly and our waitress Maya was very helpful and knowledgeable. The food came quickly and was tasty and although one of the table had an issue with their steak it was rectified quickly and replaced with no issue. We had a lovely evening and the staff made it even more special. Maya is a credit to the team.,1
228,tripadvisor,eng,1,experience;service;environment;food;value,"We went to Milton Keynes to go to Gulliver’s land and then wanted a nice dinner after. Being American Im a huge steak fanatic and always eager to try different places.The decor was great, staff was friendly. We went early which was nice but the place filled quickly while we ate.Awesome children’s menu that includes a steak option for kids. Which came out cut already so we absolutely loved that and so did my kids. Its also a fixed price and cheap even including a small dessert. Both our little ones devoured their meals with delight.My spouse ordered a steak/rib combo with scalloped potatoes and she enjoyed it and found the ribs to be very tasty, while not US bbq great, for Europe definitely not bad.Her steak was good and the potatoes were delivered as I snuck a bite or two.My meal was good i had the 12oz sirloin with a baked potato. The baked potato was small bit cooked well. The steak was tasty and good to a perfect medium, but seasoning was lacking. I don’t even think they salt and pepper them before searing which is disappointing. The garlic butter though was key and rescued the steak as i layered it on and enjoyed the flavour it added.I had a baileys cheesecake slice for dessert and enjoyed it very much. My wife had the chocolate  lava cake and loved it as well.Overall a good experience with fair pricing but would highly suggest to season the steaks or at least offer it as an extra. Its amazing how much a little chilli powder/ garlic/ pepper / salt options when added during the cooking process can raise the level of a steak.",1
231,tripadvisor,eng,1,experience;food;service;value,Brilliant food everytime and the service is second to none. Reasonably priced for the quality of food received.,1
235,tripadvisor,eng,1,food;service,We checked out Greenway because of the reviews on Trip Advisor and it did NOT disappoint!  The non-meat food was delicious and my husband who loves his burgers enjoyed it as well!  The staff was helpful and friendly and the food literally made us feel happier because it was so light and delicious!,1
